episode,timestep,reward
1,800,-18.7235
3,1600,-4.9215
5,2400,-0.293
7,3200,-0.4354
9,4000,-0.4307
11,4800,-0.4172
13,5600,-0.4204
15,6400,-0.4247
17,7200,-0.421
19,8000,-0.4096
21,8800,-0.4078
23,9600,-0.4284
25,10400,-0.3894
27,11200,-0.3761
29,12000,-0.368
31,12800,-0.3654
33,13600,-0.374
35,14400,-0.3531
37,15200,-0.3735
39,16000,-0.3758
41,16800,-0.3723
43,17600,-0.3801
45,18400,-0.3817
47,19200,-0.386
49,20000,-0.3979
51,20800,-0.403
53,21600,-0.3933
55,22400,-0.4007
57,23200,-0.396
59,24000,-0.38
61,24800,-0.3898
63,25600,-0.3796
65,26400,-0.3803
67,27200,-0.3798
69,28000,-0.4068
71,28800,-0.4281
73,29600,-0.4165
75,30400,-0.4117
77,31200,-0.3929
79,32000,-0.3908
81,32800,-0.3797
83,33600,-0.3821
85,34400,-0.3863
87,35200,-0.3913
89,36000,-0.3906
91,36800,-0.3858
93,37600,-0.3897
95,38400,-0.3925
97,39200,-0.3946
99,40000,-0.4021
101,40800,-0.4144
103,41600,-0.4253
105,42400,-0.4133
107,43200,-0.4049
109,44000,-0.4016
111,44800,-0.3965
113,45600,-0.3952
115,46400,-0.3916
117,47200,-0.3911
119,48000,-0.3935
121,48800,-0.4029
123,49600,-0.3894
125,50400,-0.3851
127,51200,-0.375
129,52000,-0.382
131,52800,-0.3791
133,53600,-0.3802
135,54400,-0.3807
137,55200,-0.3842
139,56000,-0.393
141,56800,-0.3879
143,57600,-0.3938
145,58400,-0.3832
147,59200,-0.3824
149,60000,-0.3695
151,60800,-0.3608
153,61600,-0.3561
155,62400,-0.3476
157,63200,-0.3571
159,64000,-0.3499
161,64800,-0.3475
163,65600,-0.3502
165,66400,-0.3433
167,67200,-0.3529
169,68000,-0.346
171,68800,-0.3434
173,69600,-0.3196
175,70400,-0.2902
177,71200,-0.2948
179,72000,-0.3025
181,72800,-0.2786
183,73600,-0.2646
185,74400,-0.2766
187,75200,-0.2831
189,76000,-0.2843
191,76800,-0.2873
193,77600,-0.287
195,78400,-0.2842
197,79200,-0.2807
199,80000,-0.2805
201,80800,-0.2728
203,81600,-0.2734
205,82400,-0.2696
207,83200,-0.2695
209,84000,-0.2638
211,84800,-0.2672
213,85600,-0.2722
215,86400,-0.2706
217,87200,-0.2754
219,88000,-0.3054
221,88800,-0.2853
223,89600,-0.2844
225,90400,-0.2896
227,91200,-0.2958
229,92000,-0.2893
231,92800,-0.2798
233,93600,-0.2817
235,94400,-0.286
237,95200,-0.2816
239,96000,-0.2848
241,96800,-0.2866
243,97600,-0.2962
245,98400,-0.2927
247,99200,-0.2988
249,100000,-0.2956
