episode,timestep,reward
4320,602000,90.2425
4342,604000,89.5177
4366,606000,89.6874
4391,608000,90.0795
4414,610000,89.3565
4437,612000,89.8448
4461,614000,90.1093
4486,616000,90.3548
4511,618000,90.3907
4535,620000,89.8844
4559,622000,90.3482
4584,624000,90.12
4606,626000,88.8472
4631,628000,90.4052
4654,630000,89.5352
4679,632000,90.0137
4701,634000,89.3226
4725,636000,89.7671
4749,638000,90.1088
4771,640000,89.8924
4797,642000,90.4553
4822,644000,90.5685
4844,646000,88.8069
4867,648000,89.9087
4890,650000,89.956
4914,652000,89.5608
4937,654000,89.5125
4959,656000,89.2312
4984,658000,90.3809
5008,660000,89.922
5031,662000,89.5
5053,664000,88.8752
5076,666000,88.9485
5100,668000,89.9023
5126,670000,90.2787
5151,672000,90.3244
5174,674000,89.1324
5198,676000,90.1822
5223,678000,90.1185
5247,680000,89.8456
5271,682000,89.9419
5295,684000,89.9542
5319,686000,90.0596
5342,688000,89.8875
5365,690000,89.1952
5390,692000,90.0695
5415,694000,90.0939
5439,696000,90.0426
5464,698000,90.2187
5489,700000,90.3511
5514,702000,90.0438
5536,704000,89.2874
5561,706000,89.8104
5584,708000,89.7163
5608,710000,89.8471
5632,712000,89.5981
5658,714000,90.4305
5681,716000,89.6266
5706,718000,90.4037
5729,720000,89.5172
5753,722000,89.3791
5774,724000,89.1808
5800,726000,90.0493
5825,728000,90.4736
5849,730000,89.6325
5870,732000,89.3167
5895,734000,90.5488
5920,736000,90.0877
5946,738000,90.572
5970,740000,90.1383
5994,742000,90.1429
6019,744000,90.2124
6043,746000,90.1886
6068,748000,90.7284
6093,750000,90.1288
6118,752000,90.8888
6144,754000,90.9004
6169,756000,90.8541
6194,758000,90.8147
6219,760000,90.5574
6244,762000,90.5411
6269,764000,90.4976
6293,766000,90.3639
6319,768000,91.0803
6342,770000,90.1423
6364,772000,89.6247
6387,774000,90.3729
6413,776000,91.0144
6437,778000,90.1837
6463,780000,90.6631
6489,782000,90.8374
6515,784000,91.0108
6538,786000,90.2981
6563,788000,90.6175
6587,790000,90.4348
6612,792000,90.9113
6636,794000,90.2996
6662,796000,90.8367
6688,798000,91.0946
6713,800000,90.8289
6739,802000,90.8278
6763,804000,90.8213
6785,806000,89.6148
6809,808000,90.3155
6835,810000,91.0096
6860,812000,90.9661
6884,814000,90.5204
6908,816000,90.3659
6934,818000,91.0519
6960,820000,90.7549
6985,822000,91.0288
7010,824000,90.6667
7035,826000,90.9719
7060,828000,90.9925
7084,830000,90.2128
7108,832000,90.2046
7134,834000,90.5987
7157,836000,89.969
7182,838000,90.6821
7207,840000,90.5683
7232,842000,90.938
7258,844000,90.8581
7285,846000,91.271
7309,848000,90.8808
7334,850000,90.3826
7360,852000,90.8562
7386,854000,90.8393
7412,856000,90.6327
7437,858000,90.6721
7463,860000,90.9844
7489,862000,90.936
7514,864000,91.1122
7540,866000,90.7146
7565,868000,90.4838
7591,870000,90.9331
7616,872000,90.9432
7642,874000,90.4994
7667,876000,90.6698
7694,878000,90.9158
7716,880000,89.827
7742,882000,90.9157
7766,884000,90.6387
7792,886000,90.9615
7816,888000,90.0014
7840,890000,90.4325
7865,892000,90.7221
7890,894000,90.6392
7915,896000,90.8626
7941,898000,90.8891
7967,900000,90.9792
7993,902000,90.9218
8018,904000,90.8961
8044,906000,90.7271
8070,908000,91.1583
8095,910000,90.8252
8119,912000,90.6288
8143,914000,90.2542
8169,916000,91.1535
8194,918000,90.7768
8220,920000,90.7085
8246,922000,91.0385
8272,924000,90.9588
8296,926000,90.4678
8322,928000,90.991
8348,930000,90.8103
8372,932000,90.4431
8399,934000,90.9303
8423,936000,90.3128
8447,938000,90.533
8473,940000,90.8104
8498,942000,90.7339
8523,944000,91.0297
8549,946000,90.9731
8575,948000,90.8873
8600,950000,90.9002
8623,952000,90.4205
8649,954000,90.948
8674,956000,90.6818
8698,958000,90.8493
8724,960000,91.067
8749,962000,90.4789
8774,964000,90.9987
8798,966000,90.0666
8823,968000,90.5257
8848,970000,90.7888
8873,972000,90.6937
8899,974000,91.0429
8923,976000,90.688
8947,978000,90.5362
8972,980000,90.6152
8998,982000,91.1286
9023,984000,90.5502
9048,986000,91.0698
9074,988000,91.0973
9100,990000,91.0244
9126,992000,90.9105
9151,994000,90.8324
9177,996000,90.963
9203,998000,90.8466
9228,1000000,90.655
9254,1002000,91.198
9280,1004000,91.5436
9306,1006000,91.571
9333,1008000,91.4526
9359,1010000,91.406
9386,1012000,91.6464
9412,1014000,91.1839
9438,1016000,91.3412
9464,1018000,91.4782
9489,1020000,91.4638
9516,1022000,91.3546
9542,1024000,91.5556
9568,1026000,91.5785
9594,1028000,91.2527
9620,1030000,91.187
9647,1032000,91.346
9673,1034000,91.3194
9699,1036000,91.5315
9725,1038000,91.3787
9752,1040000,91.5112
9778,1042000,91.3466
9804,1044000,91.2863
9831,1046000,91.4522
9857,1048000,91.4623
9883,1050000,91.2901
9909,1052000,91.4618
9935,1054000,91.4308
9962,1056000,91.1824
9987,1058000,91.3025
10014,1060000,91.419
10040,1062000,91.4771
10066,1064000,91.4844
10092,1066000,91.6306
10119,1068000,91.5492
10145,1070000,91.6818
10171,1072000,91.3694
10197,1074000,91.6417
10222,1076000,91.0935
10248,1078000,91.4921
10275,1080000,91.4928
10301,1082000,91.3451
10327,1084000,91.3775
10353,1086000,91.6093
10379,1088000,91.4342
10405,1090000,91.349
10432,1092000,91.2189
10458,1094000,91.4071
10485,1096000,91.5226
10510,1098000,90.9851
10536,1100000,91.6299
10563,1102000,91.4872
10589,1104000,91.6507
10616,1106000,91.5466
10642,1108000,91.4667
10668,1110000,91.6599
10694,1112000,91.3377
10721,1114000,91.3527
10746,1116000,91.0615
10772,1118000,91.3963
10798,1120000,91.307
10825,1122000,91.5925
10851,1124000,91.4902
10877,1126000,91.3119
10903,1128000,91.4177
10929,1130000,91.3586
10955,1132000,91.0738
10981,1134000,91.758
11008,1136000,91.4843
11034,1138000,91.3914
11061,1140000,91.498
11088,1142000,91.5655
11114,1144000,91.6307
11140,1146000,91.41
11167,1148000,91.6012
11193,1150000,91.2606
11220,1152000,91.4737
11245,1154000,91.0893
11272,1156000,91.5428
11298,1158000,91.4167
11325,1160000,91.5196
11351,1162000,91.7553
11377,1164000,91.3228
11403,1166000,91.4821
11428,1168000,91.3226
11455,1170000,91.3407
11481,1172000,91.2507
11507,1174000,91.4653
11532,1176000,91.2994
11558,1178000,91.6768
11585,1180000,91.456
11610,1182000,91.1419
11637,1184000,91.5418
11664,1186000,91.7724
11690,1188000,91.3704
11717,1190000,91.3624
11743,1192000,91.5641
11769,1194000,91.2797
11794,1196000,91.068
11821,1198000,91.561
11845,1200000,90.8985
11870,1202000,91.1292
11897,1204000,91.6928
11923,1206000,91.4841
11949,1208000,91.6982
11976,1210000,91.5326
12002,1212000,91.2828
12028,1214000,91.5014
12055,1216000,91.7084
12081,1218000,91.2969
12107,1220000,91.5289
12133,1222000,91.6501
12160,1224000,91.4655
12187,1226000,91.6612
12213,1228000,91.331
12238,1230000,91.2338
12264,1232000,91.5427
12290,1234000,90.9799
12316,1236000,91.3178
12342,1238000,91.6281
12368,1240000,91.2707
12394,1242000,91.4921
12421,1244000,91.6362
12446,1246000,91.6899
12472,1248000,91.1433
12499,1250000,91.4352
12526,1252000,91.9613
12552,1254000,91.744
12579,1256000,91.7964
12606,1258000,91.9991
12634,1260000,91.9899
12660,1262000,91.8656
12688,1264000,91.9342
12715,1266000,91.9909
12742,1268000,92.1524
12768,1270000,91.7439
12795,1272000,92.0015
12822,1274000,92.1993
12849,1276000,91.8098
12876,1278000,91.922
12903,1280000,91.9636
12930,1282000,91.8287
12957,1284000,92.1353
12984,1286000,91.8747
13011,1288000,91.7348
13038,1290000,92.0338
13065,1292000,92.155
13092,1294000,92.0135
13119,1296000,92.0281
13145,1298000,91.6948
13172,1300000,92.1396
13199,1302000,91.9173
13225,1304000,92.0432
13252,1306000,91.8843
13279,1308000,91.8858
13306,1310000,91.9165
13333,1312000,92.0736
13360,1314000,91.9178
13387,1316000,92.0243
13414,1318000,91.891
13440,1320000,92.0822
13467,1322000,91.951
13494,1324000,91.9469
13521,1326000,91.9233
13548,1328000,92.0699
13575,1330000,92.0849
13603,1332000,91.9118
13630,1334000,92.012
13656,1336000,91.8756
13683,1338000,92.039
13710,1340000,91.7858
13737,1342000,92.114
13764,1344000,91.8677
13790,1346000,91.9945
13817,1348000,92.0677
13844,1350000,92.0477
13870,1352000,91.5972
13897,1354000,92.0863
13924,1356000,91.9519
13951,1358000,91.9328
13978,1360000,91.8739
14005,1362000,91.89
14031,1364000,91.8434
14058,1366000,91.8257
14086,1368000,91.7957
14113,1370000,91.9147
14140,1372000,91.8356
14167,1374000,91.905
14193,1376000,92.0566
14220,1378000,92.0238
14247,1380000,92.0183
14274,1382000,92.0664
14301,1384000,91.9731
14328,1386000,91.9897
14355,1388000,91.8579
14382,1390000,91.8115
14409,1392000,92.0681
14436,1394000,92.0408
14463,1396000,91.8745
14489,1398000,91.7301
14516,1400000,91.9163
14543,1402000,91.9814
14569,1404000,92.2715
14596,1406000,92.1706
14623,1408000,91.9432
14650,1410000,92.1393
14677,1412000,92.18
14703,1414000,91.6592
14731,1416000,91.8568
14758,1418000,91.8837
14785,1420000,92.1864
14812,1422000,91.9651
14839,1424000,91.9675
14865,1426000,91.8913
14893,1428000,91.9201
14919,1430000,91.9408
14946,1432000,91.6412
14972,1434000,91.963
14998,1436000,91.8521
15025,1438000,91.726
15052,1440000,91.8207
15079,1442000,91.9702
15106,1444000,91.765
15133,1446000,92.099
15160,1448000,92.0832
15187,1450000,91.9154
15214,1452000,92.0751
15239,1454000,91.5004
15265,1456000,91.891
15291,1458000,91.6919
15317,1460000,91.7562
15343,1462000,91.7709
15370,1464000,91.9766
15396,1466000,91.6685
15424,1468000,92.1358
15451,1470000,91.9139
15478,1472000,91.8964
15505,1474000,91.9448
15532,1476000,92.1608
15558,1478000,91.7678
15585,1480000,92.0467
15611,1482000,91.5673
15638,1484000,92.0332
15665,1486000,91.8346
15692,1488000,92.102
15719,1490000,92.0907
15746,1492000,92.0801
15773,1494000,91.9762
15800,1496000,91.8379
15828,1498000,92.033
15855,1500000,92.0153
15883,1502000,92.2133
15911,1504000,92.5478
15938,1506000,92.3318
15965,1508000,92.3682
15993,1510000,92.3285
16020,1512000,92.5257
16048,1514000,92.3231
16076,1516000,92.496
16102,1518000,92.0969
16129,1520000,92.371
16157,1522000,92.3081
16184,1524000,92.5148
16212,1526000,92.42
16239,1528000,92.428
16267,1530000,92.385
16295,1532000,92.2676
16322,1534000,92.3547
16350,1536000,92.39
16377,1538000,92.3403
16405,1540000,92.4176
16433,1542000,92.3447
16460,1544000,92.3271
16487,1546000,92.3232
16515,1548000,92.3253
16542,1550000,92.5011
16570,1552000,92.4225
16597,1554000,92.4499
16625,1556000,92.4103
16652,1558000,92.3735
16680,1560000,92.449
16707,1562000,92.3124
16735,1564000,92.4125
16763,1566000,92.5638
16791,1568000,92.242
16818,1570000,92.5695
16846,1572000,92.4152
16873,1574000,92.3489
16901,1576000,92.2998
16928,1578000,92.2245
16956,1580000,92.4941
16983,1582000,92.2926
17011,1584000,92.3391
17038,1586000,92.4272
17065,1588000,92.3466
17092,1590000,92.2211
17120,1592000,92.4965
17148,1594000,92.4178
17175,1596000,92.3983
17203,1598000,92.5722
17231,1600000,92.3887
17258,1602000,92.5251
17286,1604000,92.4037
17313,1606000,92.4027
17341,1608000,92.415
17368,1610000,92.4163
17396,1612000,92.3473
17423,1614000,92.447
17451,1616000,92.5159
17479,1618000,92.2875
17506,1620000,92.3221
17534,1622000,92.3207
17561,1624000,92.3182
17589,1626000,92.3229
17617,1628000,92.311
17644,1630000,92.3695
17672,1632000,92.2531
17699,1634000,92.4568
17727,1636000,92.3733
17754,1638000,92.3259
17782,1640000,92.5459
17810,1642000,92.358
17837,1644000,92.426
17865,1646000,92.5445
17892,1648000,92.2783
17920,1650000,92.2382
17947,1652000,92.2788
17974,1654000,92.4426
18002,1656000,92.3001
18029,1658000,92.3547
18057,1660000,92.387
18084,1662000,92.5129
18112,1664000,92.4091
18140,1666000,92.3985
18167,1668000,92.3638
18195,1670000,92.4797
18222,1672000,92.3108
18249,1674000,92.2947
18277,1676000,92.4319
18304,1678000,92.4361
18332,1680000,92.1728
18359,1682000,92.2751
18387,1684000,92.2656
18414,1686000,92.3298
18442,1688000,92.3536
18469,1690000,92.4683
18497,1692000,92.4015
18525,1694000,92.5884
18552,1696000,92.4407
18580,1698000,92.4299
18607,1700000,92.4332
18635,1702000,92.2538
18662,1704000,92.3685
18690,1706000,92.2814
18717,1708000,92.2474
18745,1710000,92.3928
18772,1712000,92.3274
18799,1714000,92.3575
18827,1716000,92.4172
18855,1718000,92.4579
18882,1720000,92.3266
18909,1722000,92.1867
18937,1724000,92.4016
18965,1726000,92.3599
18992,1728000,92.358
19020,1730000,92.5212
19047,1732000,92.5507
19075,1734000,92.3128
19102,1736000,92.5416
19130,1738000,92.4676
19157,1740000,92.4094
19185,1742000,92.5024
19212,1744000,92.5533
19240,1746000,92.4121
19267,1748000,92.3495
19295,1750000,92.419
19322,1752000,92.7635
19351,1754000,92.832
19378,1756000,92.5686
19406,1758000,92.7913
19434,1760000,92.821
19462,1762000,92.653
19490,1764000,92.6486
19518,1766000,92.7994
19546,1768000,92.6624
19574,1770000,92.7918
19602,1772000,92.7104
19630,1774000,92.814
19658,1776000,92.7905
19686,1778000,92.6475
19714,1780000,92.7457
19742,1782000,92.5849
19770,1784000,92.7737
19798,1786000,92.5932
19827,1788000,92.723
19855,1790000,92.6108
19883,1792000,92.728
19911,1794000,92.7233
19939,1796000,92.6168
19967,1798000,92.6826
19995,1800000,92.6617
20024,1802000,92.8021
20051,1804000,92.6299
20079,1806000,92.6983
20107,1808000,92.7276
20135,1810000,92.6714
20163,1812000,92.5958
20191,1814000,92.6978
20219,1816000,92.7837
20246,1818000,92.5756
20275,1820000,92.6947
