episode,timestep,reward
1,800,-21.8345
3,1600,-16.8398
5,2400,-11.9979
7,3200,-9.9913
9,4000,-6.2542
11,4800,-4.4284
13,5600,-2.8652
15,6400,-1.6825
17,7200,-0.9401
19,8000,-0.7825
21,8800,-0.456
23,9600,-0.1444
25,10400,-0.245
27,11200,-0.3411
29,12000,-0.1997
31,12800,-0.0323
33,13600,-0.3996
35,14400,-0.8126
37,15200,-0.4641
39,16000,-0.1016
41,16800,-0.0676
43,17600,-0.0144
45,18400,-4.9094
47,19200,-9.8212
49,20000,-9.3291
51,20800,-8.8748
53,21600,-8.5152
55,22400,-8.2196
57,23200,-7.569
59,24000,-6.9321
61,24800,-7.5524
63,25600,-8.1985
65,26400,-8.7087
67,27200,-9.1729
69,28000,-8.7475
71,28800,-8.3161
73,29600,-8.8927
75,30400,-9.4866
77,31200,-8.9364
79,32000,-8.4542
81,32800,-8.9801
83,33600,-9.5422
85,34400,-10.6388
87,35200,-11.8018
89,36000,-11.1145
91,36800,-10.4185
93,37600,-10.8058
95,38400,-11.2841
97,39200,-11.9883
99,40000,-12.6824
101,40800,-12.1439
103,41600,-11.6422
105,42400,-12.3264
107,43200,-13.0295
109,44000,-13.8496
111,44800,-14.5471
113,45600,-13.9197
115,46400,-13.1677
117,47200,-12.5399
119,48000,-11.9791
121,48800,-12.6612
123,49600,-13.2254
125,50400,-13.8546
127,51200,-14.512
129,52000,-13.7603
131,52800,-12.8782
133,53600,-11.4792
135,54400,-10.043
137,55200,-10.7062
139,56000,-11.4081
141,56800,-10.1103
143,57600,-8.8707
145,58400,-10.108
147,59200,-11.3532
149,60000,-12.2742
151,60800,-13.1995
153,61600,-12.4142
155,62400,-11.6446
157,63200,-8.674
159,64000,-5.7543
161,64800,-6.8814
163,65600,-8.0107
165,66400,-6.9565
167,67200,-5.9159
169,68000,-5.1362
171,68800,-4.3643
173,69600,-5.6725
175,70400,-6.9594
177,71200,-5.688
179,72000,-4.4282
181,72800,-4.1057
183,73600,-3.7721
185,74400,-3.1059
187,75200,-2.435
189,76000,-3.5493
191,76800,-4.6532
193,77600,-3.8035
195,78400,-2.9463
197,79200,-3.6895
199,80000,-4.4159
201,80800,-5.2384
203,81600,-6.0694
205,82400,-5.1492
207,83200,-4.2508
209,84000,-5.2443
211,84800,-6.2465
213,85600,-7.2729
215,86400,-8.3173
217,87200,-6.8593
219,88000,-5.4214
221,88800,-4.7177
223,89600,-4.04
225,90400,-5.3905
227,91200,-6.7396
229,92000,-5.7744
231,92800,-4.8348
233,93600,-2.5648
235,94400,-0.323
237,95200,-0.196
239,96000,-0.0421
241,96800,-0.2351
243,97600,-0.4409
245,98400,-0.9089
247,99200,-1.3835
249,100000,-1.946
