episode,timestep,reward
37,800,21.3243
71,1600,23.7647
104,2400,23.9394
139,3200,22.4857
157,4000,45.1111
179,4800,36.3182
192,5600,56.3077
210,6400,47.1111
217,7200,114.1429
224,8000,103.5714
228,8800,149.75
233,9600,200.6
236,10400,229.0
240,11200,184.25
245,12000,208.2
248,12800,245.3333
250,13600,283.5
254,14400,239.0
258,15200,237.25
262,16000,208.0
264,16800,309.0
267,17600,313.3333
269,18400,346.0
271,19200,330.0
273,20000,361.0
275,20800,400.0
278,21600,386.6667
280,22400,400.0
282,23200,377.0
284,24000,329.5
287,24800,311.3333
289,25600,293.5
292,26400,322.0
295,27200,290.3333
298,28000,264.0
300,28800,270.5
303,29600,330.6667
305,30400,400.0
307,31200,282.0
309,32000,400.0
312,32800,316.6667
314,33600,370.5
316,34400,381.5
319,35200,277.6667
324,36000,211.8
326,36800,340.0
328,37600,334.0
330,38400,357.5
332,39200,384.5
335,40000,361.0
337,40800,389.0
340,41600,296.3333
342,42400,385.0
344,43200,361.0
346,44000,390.5
348,44800,400.0
350,45600,400.0
352,46400,400.0
354,47200,392.5
356,48000,357.0
358,48800,400.0
360,49600,400.0
362,50400,400.0
364,51200,400.0
366,52000,400.0
368,52800,400.0
370,53600,391.5
372,54400,400.0
374,55200,367.0
377,56000,359.6667
379,56800,358.0
381,57600,326.0
384,58400,284.6667
386,59200,353.5
389,60000,370.0
391,60800,361.5
393,61600,368.0
395,62400,400.0
398,63200,302.3333
400,64000,291.5
402,64800,335.5
405,65600,394.6667
407,66400,356.0
409,67200,311.0
412,68000,350.0
414,68800,348.0
416,69600,396.5
418,70400,379.5
420,71200,400.0
422,72000,345.5
424,72800,378.5
426,73600,400.0
428,74400,400.0
430,75200,400.0
432,76000,395.5
434,76800,400.0
437,77600,351.0
439,78400,397.5
441,79200,400.0
443,80000,400.0
445,80800,400.0
447,81600,396.5
449,82400,378.5
452,83200,284.0
454,84000,385.5
456,84800,348.0
458,85600,397.0
460,86400,400.0
462,87200,400.0
465,88000,339.0
467,88800,400.0
469,89600,400.0
471,90400,400.0
473,91200,399.0
475,92000,400.0
477,92800,400.0
479,93600,377.5
481,94400,400.0
483,95200,400.0
486,96000,284.0
488,96800,400.0
490,97600,400.0
492,98400,400.0
494,99200,400.0
496,100000,400.0
