episode,timestep,reward
40,800,19.775
78,1600,21.0789
102,2400,33.25
134,3200,24.4688
154,4000,40.35
175,4800,38.381
188,5600,60.0769
203,6400,48.2
212,7200,95.2222
219,8000,118.1429
227,8800,102.875
230,9600,243.0
236,10400,140.8333
242,11200,136.8333
245,12000,231.6667
250,12800,174.0
254,13600,205.25
258,14400,196.75
263,15200,160.4
271,16000,103.0
275,16800,136.75
281,17600,143.1667
285,18400,222.25
288,19200,277.0
292,20000,169.0
295,20800,296.3333
299,21600,224.25
302,22400,240.3333
306,23200,168.75
310,24000,212.0
314,24800,230.5
318,25600,209.25
321,26400,261.3333
323,27200,331.5
326,28000,280.0
329,28800,226.6667
332,29600,319.0
334,30400,327.5
337,31200,314.3333
339,32000,267.0
342,32800,345.6667
344,33600,315.5
347,34400,340.0
349,35200,400.0
351,36000,332.5
354,36800,320.0
356,37600,348.5
359,38400,317.0
361,39200,301.0
363,40000,345.5
365,40800,400.0
367,41600,400.0
370,42400,314.0
372,43200,345.0
374,44000,341.0
376,44800,400.0
378,45600,400.0
380,46400,400.0
382,47200,400.0
384,48000,400.0
386,48800,400.0
388,49600,400.0
392,50400,244.0
395,51200,299.6667
397,52000,352.0
400,52800,321.0
402,53600,331.5
405,54400,301.3333
407,55200,359.0
409,56000,394.0
411,56800,400.0
413,57600,356.5
416,58400,351.6667
418,59200,362.0
420,60000,300.5
423,60800,357.3333
425,61600,302.0
429,62400,239.5
432,63200,270.3333
435,64000,255.0
438,64800,233.0
440,65600,400.0
443,66400,235.6667
445,67200,400.0
448,68000,296.0
450,68800,328.0
454,69600,275.75
456,70400,389.5
458,71200,372.0
461,72000,295.6667
463,72800,357.0
465,73600,384.0
467,74400,400.0
469,75200,400.0
471,76000,343.0
474,76800,292.3333
476,77600,304.5
479,78400,343.6667
481,79200,352.5
484,80000,295.3333
486,80800,339.5
488,81600,400.0
490,82400,400.0
492,83200,400.0
494,84000,400.0
496,84800,400.0
498,85600,400.0
500,86400,400.0
502,87200,400.0
505,88000,341.3333
508,88800,253.6667
510,89600,298.5
513,90400,294.6667
516,91200,286.6667
519,92000,305.0
521,92800,326.5
523,93600,384.5
525,94400,400.0
527,95200,400.0
529,96000,335.5
531,96800,400.0
533,97600,400.0
535,98400,388.0
538,99200,303.3333
540,100000,400.0
