episode,timestep,reward
34,800,23.3235
78,1600,17.7273
107,2400,28.0345
143,3200,22.3889
165,4000,36.0909
188,4800,35.087
206,5600,41.4444
224,6400,47.7222
237,7200,57.3077
243,8000,128.3333
249,8800,142.3333
253,9600,182.25
257,10400,201.0
261,11200,204.25
264,12000,293.6667
268,12800,188.75
271,13600,277.0
274,14400,218.6667
276,15200,312.0
279,16000,301.3333
282,16800,312.3333
285,17600,237.3333
287,18400,362.0
289,19200,400.0
292,20000,314.6667
295,20800,269.0
297,21600,400.0
299,22400,397.0
301,23200,400.0
303,24000,296.5
306,24800,351.0
308,25600,383.0
310,26400,400.0
312,27200,400.0
314,28000,400.0
316,28800,397.0
318,29600,379.5
321,30400,266.0
323,31200,288.0
325,32000,400.0
327,32800,400.0
329,33600,400.0
333,34400,290.25
335,35200,316.0
337,36000,330.5
340,36800,288.6667
342,37600,400.0
344,38400,400.0
346,39200,376.0
348,40000,400.0
351,40800,346.3333
353,41600,358.5
355,42400,400.0
357,43200,400.0
359,44000,400.0
361,44800,400.0
363,45600,347.0
366,46400,280.6667
368,47200,400.0
370,48000,400.0
372,48800,400.0
374,49600,400.0
376,50400,400.0
378,51200,383.0
380,52000,338.0
382,52800,400.0
384,53600,400.0
386,54400,400.0
388,55200,400.0
390,56000,400.0
392,56800,400.0
394,57600,400.0
396,58400,400.0
398,59200,385.0
400,60000,400.0
402,60800,400.0
405,61600,390.6667
407,62400,294.0
410,63200,319.0
412,64000,400.0
414,64800,391.5
416,65600,350.5
418,66400,375.0
420,67200,400.0
422,68000,366.0
424,68800,400.0
426,69600,385.5
428,70400,393.5
431,71200,289.6667
434,72000,315.6667
436,72800,337.0
439,73600,299.0
441,74400,378.0
443,75200,396.5
445,76000,337.5
447,76800,374.0
449,77600,400.0
452,78400,307.6667
455,79200,319.0
457,80000,400.0
459,80800,400.0
461,81600,400.0
463,82400,399.5
465,83200,316.0
467,84000,362.0
469,84800,400.0
472,85600,319.3333
475,86400,285.0
477,87200,400.0
479,88000,400.0
481,88800,400.0
483,89600,400.0
485,90400,400.0
487,91200,400.0
489,92000,400.0
491,92800,400.0
493,93600,400.0
495,94400,400.0
497,95200,293.0
499,96000,400.0
502,96800,364.3333
504,97600,383.5
506,98400,389.5
508,99200,400.0
510,100000,400.0
