episode,timestep,reward
42,800,18.9048
82,1600,19.925
110,2400,28.1786
140,3200,26.7667
162,4000,34.9091
186,4800,34.1667
196,5600,78.4
209,6400,64.2308
216,7200,96.7143
226,8000,87.2
231,8800,161.0
236,9600,162.6
240,10400,171.25
243,11200,256.6667
249,12000,154.1667
253,12800,203.0
256,13600,246.0
259,14400,279.0
262,15200,279.3333
265,16000,267.3333
267,16800,308.5
271,17600,249.25
273,18400,400.0
275,19200,310.0
278,20000,305.3333
280,20800,254.5
283,21600,387.0
286,22400,270.0
288,23200,381.0
290,24000,334.0
292,24800,354.5
295,25600,251.3333
298,26400,357.6667
300,27200,376.5
302,28000,392.0
304,28800,311.5
306,29600,400.0
308,30400,400.0
311,31200,359.3333
313,32000,400.0
315,32800,400.0
317,33600,400.0
319,34400,398.5
321,35200,394.0
324,36000,269.6667
326,36800,336.5
328,37600,387.0
330,38400,400.0
332,39200,400.0
334,40000,386.5
336,40800,341.0
338,41600,400.0
340,42400,400.0
342,43200,400.0
344,44000,400.0
346,44800,400.0
349,45600,346.6667
351,46400,334.5
353,47200,400.0
355,48000,400.0
357,48800,400.0
359,49600,400.0
361,50400,400.0
363,51200,400.0
365,52000,400.0
367,52800,400.0
369,53600,400.0
372,54400,298.3333
374,55200,376.0
376,56000,400.0
378,56800,400.0
380,57600,373.5
383,58400,329.3333
385,59200,332.0
388,60000,286.6667
390,60800,400.0
392,61600,363.0
394,62400,400.0
396,63200,376.0
398,64000,334.5
401,64800,379.6667
403,65600,393.5
405,66400,300.5
407,67200,379.5
409,68000,369.5
412,68800,345.3333
414,69600,353.0
418,70400,228.0
420,71200,341.5
422,72000,312.5
424,72800,400.0
427,73600,348.0
429,74400,372.5
433,75200,215.0
435,76000,316.0
438,76800,332.6667
440,77600,359.5
442,78400,325.0
445,79200,287.3333
447,80000,390.0
450,80800,347.6667
452,81600,333.0
455,82400,254.6667
457,83200,350.5
460,84000,335.0
463,84800,256.0
466,85600,250.3333
470,86400,227.75
472,87200,258.5
475,88000,330.0
478,88800,296.6667
480,89600,312.5
482,90400,383.5
485,91200,317.0
488,92000,275.3333
491,92800,289.6667
493,93600,364.0
495,94400,322.0
497,95200,400.0
500,96000,329.3333
502,96800,274.5
505,97600,350.6667
507,98400,322.0
510,99200,314.0
512,100000,339.5
